"Code";"Name";"Age groups";"Sex";"Value and precision";"Year";"Value";"Measure Unit";"Attribute";
0000000;"POLAND";"15-29";"females";"numerical data";"2004";30.9;"%";"";
0000000;"POLAND";"15-29";"females";"numerical data";"2005";32.2;"%";"";
0000000;"POLAND";"15-29";"females";"numerical data";"2006";35.4;"%";"";
0000000;"POLAND";"15-29";"females";"numerical data";"2007";37.7;"%";"";
0000000;"POLAND";"15-29";"females";"numerical data";"2008";39.8;"%";"";
0000000;"POLAND";"15-29";"females";"numerical data";"2009";39.5;"%";"";
0000000;"POLAND";"15-29";"females";"numerical data";"2010";38.4;"%";"";
0000000;"POLAND";"15-29";"females";"numerical data";"2011";37.1;"%";"";
0000000;"POLAND";"15-29";"females";"numerical data";"2012";36.9;"%";"";
0000000;"POLAND";"15-29";"females";"numerical data";"2013";36.7;"%";"";
0000000;"POLAND";"15-29";"females";"numerical data";"2014";38.9;"%";"";
0000000;"POLAND";"15-29";"females";"numerical data";"2015";39.8;"%";"";
0000000;"POLAND";"15-29";"females";"numerical data";"2016";41.8;"%";"";
0000000;"POLAND";"15-29";"females";"numerical data";"2017";42.8;"%";"";
0000000;"POLAND";"15-29";"females";"numerical data";"2018";44.3;"%";"";
0000000;"POLAND";"15-29";"females";"numerical data";"2019";44.7;"%";"";
0000000;"POLAND";"15-29";"females";"numerical data";"2020";41.6;"%";"";
0000000;"POLAND";"15-64";"females";"numerical data";"1995";51.8;"%";"";
0000000;"POLAND";"15-64";"females";"numerical data";"1996";51.8;"%";"";
0000000;"POLAND";"15-64";"females";"numerical data";"1997";51.8;"%";"";
0000000;"POLAND";"15-64";"females";"numerical data";"1998";52.2;"%";"";
0000000;"POLAND";"15-64";"females";"numerical data";"1999";50.1;"%";"";
0000000;"POLAND";"15-64";"females";"numerical data";"2000";48.9;"%";"";
0000000;"POLAND";"15-64";"females";"numerical data";"2001";47.8;"%";"";
0000000;"POLAND";"15-64";"females";"numerical data";"2002";46.4;"%";"";
0000000;"POLAND";"15-64";"females";"numerical data";"2003";46.3;"%";"";
0000000;"POLAND";"15-64";"females";"numerical data";"2004";46.4;"%";"";
0000000;"POLAND";"15-64";"females";"numerical data";"2005";47.0;"%";"";
0000000;"POLAND";"15-64";"females";"numerical data";"2006";48.2;"%";"";
0000000;"POLAND";"15-64";"females";"numerical data";"2007";50.6;"%";"";
0000000;"POLAND";"15-64";"females";"numerical data";"2008";52.4;"%";"";
0000000;"POLAND";"15-64";"females";"numerical data";"2009";52.8;"%";"";
0000000;"POLAND";"15-64";"females";"numerical data";"2010";52.6;"%";"";
0000000;"POLAND";"15-64";"females";"numerical data";"2011";52.7;"%";"";
0000000;"POLAND";"15-64";"females";"numerical data";"2012";53.1;"%";"";
0000000;"POLAND";"15-64";"females";"numerical data";"2013";53.4;"%";"";
0000000;"POLAND";"15-64";"females";"numerical data";"2014";55.2;"%";"";
0000000;"POLAND";"15-64";"females";"numerical data";"2015";56.6;"%";"";
0000000;"POLAND";"15-64";"females";"numerical data";"2016";58.1;"%";"";
0000000;"POLAND";"15-64";"females";"numerical data";"2017";59.5;"%";"";
0000000;"POLAND";"15-64";"females";"numerical data";"2018";60.8;"%";"";
0000000;"POLAND";"15-64";"females";"numerical data";"2019";61.1;"%";"";
0000000;"POLAND";"15-64";"females";"numerical data";"2020";61.4;"%";"";
0000000;"POLAND";"25-54";"females";"numerical data";"1995";67.7;"%";"";
0000000;"POLAND";"25-54";"females";"numerical data";"1996";67.8;"%";"";
0000000;"POLAND";"25-54";"females";"numerical data";"1997";67.2;"%";"";
0000000;"POLAND";"25-54";"females";"numerical data";"1998";67.9;"%";"";
0000000;"POLAND";"25-54";"females";"numerical data";"1999";65.9;"%";"";
0000000;"POLAND";"25-54";"females";"numerical data";"2000";64.3;"%";"";
0000000;"POLAND";"25-54";"females";"numerical data";"2001";63.1;"%";"";
0000000;"POLAND";"25-54";"females";"numerical data";"2002";61.9;"%";"";
0000000;"POLAND";"25-54";"females";"numerical data";"2003";62.1;"%";"";
0000000;"POLAND";"25-54";"females";"numerical data";"2004";62.7;"%";"";
0000000;"POLAND";"25-54";"females";"numerical data";"2005";63.1;"%";"";
0000000;"POLAND";"25-54";"females";"numerical data";"2006";65.3;"%";"";
0000000;"POLAND";"25-54";"females";"numerical data";"2007";68.8;"%";"";
0000000;"POLAND";"25-54";"females";"numerical data";"2008";71.0;"%";"";
0000000;"POLAND";"25-54";"females";"numerical data";"2009";71.6;"%";"";
0000000;"POLAND";"25-54";"females";"numerical data";"2010";71.7;"%";"";
0000000;"POLAND";"25-54";"females";"numerical data";"2011";71.5;"%";"";
0000000;"POLAND";"25-54";"females";"numerical data";"2012";71.4;"%";"";
0000000;"POLAND";"25-54";"females";"numerical data";"2013";71.2;"%";"";
0000000;"POLAND";"25-54";"females";"numerical data";"2014";72.7;"%";"";
0000000;"POLAND";"25-54";"females";"numerical data";"2015";73.9;"%";"";
0000000;"POLAND";"25-54";"females";"numerical data";"2016";74.5;"%";"";
0000000;"POLAND";"25-54";"females";"numerical data";"2017";75.3;"%";"";
0000000;"POLAND";"25-54";"females";"numerical data";"2018";76.5;"%";"";
0000000;"POLAND";"25-54";"females";"numerical data";"2019";76.4;"%";"";
0000000;"POLAND";"25-54";"females";"numerical data";"2020";76.7;"%";"";
0000000;"POLAND";"30-39";"females";"numerical data";"1995";68.8;"%";"";
0000000;"POLAND";"30-39";"females";"numerical data";"1996";68.5;"%";"";
0000000;"POLAND";"30-39";"females";"numerical data";"1997";68.5;"%";"";
0000000;"POLAND";"30-39";"females";"numerical data";"1998";69.8;"%";"";
0000000;"POLAND";"30-39";"females";"numerical data";"1999";68.9;"%";"";
0000000;"POLAND";"30-39";"females";"numerical data";"2000";66.6;"%";"";
0000000;"POLAND";"30-39";"females";"numerical data";"2001";65.9;"%";"";
0000000;"POLAND";"30-39";"females";"numerical data";"2002";65.3;"%";"";
0000000;"POLAND";"30-39";"females";"numerical data";"2003";64.6;"%";"";
0000000;"POLAND";"30-39";"females";"numerical data";"2004";67.2;"%";"";
0000000;"POLAND";"30-39";"females";"numerical data";"2005";67.7;"%";"";
0000000;"POLAND";"30-39";"females";"numerical data";"2006";69.5;"%";"";
0000000;"POLAND";"30-39";"females";"numerical data";"2007";73.2;"%";"";
0000000;"POLAND";"30-39";"females";"numerical data";"2008";74.6;"%";"";
0000000;"POLAND";"30-39";"females";"numerical data";"2009";74.5;"%";"";
0000000;"POLAND";"30-39";"females";"numerical data";"2010";73.8;"%";"";
0000000;"POLAND";"30-39";"females";"numerical data";"2011";73.0;"%";"";
0000000;"POLAND";"30-39";"females";"numerical data";"2012";72.9;"%";"";
0000000;"POLAND";"30-39";"females";"numerical data";"2013";72.1;"%";"";
0000000;"POLAND";"30-39";"females";"numerical data";"2014";73.0;"%";"";
0000000;"POLAND";"30-39";"females";"numerical data";"2015";74.6;"%";"";
0000000;"POLAND";"30-39";"females";"numerical data";"2016";74.8;"%";"";
0000000;"POLAND";"30-39";"females";"numerical data";"2017";75.2;"%";"";
0000000;"POLAND";"30-39";"females";"numerical data";"2018";74.8;"%";"";
0000000;"POLAND";"30-39";"females";"numerical data";"2019";74.3;"%";"";
0000000;"POLAND";"30-39";"females";"numerical data";"2020";75.7;"%";"";
0000000;"POLAND";"40-49";"females";"numerical data";"1995";73.6;"%";"";
0000000;"POLAND";"40-49";"females";"numerical data";"1996";73.7;"%";"";
0000000;"POLAND";"40-49";"females";"numerical data";"1997";72.5;"%";"";
0000000;"POLAND";"40-49";"females";"numerical data";"1998";72.5;"%";"";
0000000;"POLAND";"40-49";"females";"numerical data";"1999";70.2;"%";"";
0000000;"POLAND";"40-49";"females";"numerical data";"2000";69.2;"%";"";
0000000;"POLAND";"40-49";"females";"numerical data";"2001";68.0;"%";"";
0000000;"POLAND";"40-49";"females";"numerical data";"2002";66.9;"%";"";
0000000;"POLAND";"40-49";"females";"numerical data";"2003";67.8;"%";"";
0000000;"POLAND";"40-49";"females";"numerical data";"2004";67.8;"%";"";
0000000;"POLAND";"40-49";"females";"numerical data";"2005";68.2;"%";"";
0000000;"POLAND";"40-49";"females";"numerical data";"2006";69.7;"%";"";
0000000;"POLAND";"40-49";"females";"numerical data";"2007";73.1;"%";"";
0000000;"POLAND";"40-49";"females";"numerical data";"2008";75.3;"%";"";
0000000;"POLAND";"40-49";"females";"numerical data";"2009";76.5;"%";"";
0000000;"POLAND";"40-49";"females";"numerical data";"2010";76.6;"%";"";
0000000;"POLAND";"40-49";"females";"numerical data";"2011";76.6;"%";"";
0000000;"POLAND";"40-49";"females";"numerical data";"2012";76.3;"%";"";
0000000;"POLAND";"40-49";"females";"numerical data";"2013";76.0;"%";"";
0000000;"POLAND";"40-49";"females";"numerical data";"2014";76.9;"%";"";
0000000;"POLAND";"40-49";"females";"numerical data";"2015";77.0;"%";"";
0000000;"POLAND";"40-49";"females";"numerical data";"2016";77.8;"%";"";
0000000;"POLAND";"40-49";"females";"numerical data";"2017";78.8;"%";"";
0000000;"POLAND";"40-49";"females";"numerical data";"2018";81.6;"%";"";
0000000;"POLAND";"40-49";"females";"numerical data";"2019";81.5;"%";"";
0000000;"POLAND";"40-49";"females";"numerical data";"2020";81.4;"%";"";
0000000;"POLAND";"50 and more";"females";"numerical data";"1995";22.3;"%";"";
0000000;"POLAND";"50 and more";"females";"numerical data";"1996";22.4;"%";"";
0000000;"POLAND";"50 and more";"females";"numerical data";"1997";22.5;"%";"";
0000000;"POLAND";"50 and more";"females";"numerical data";"1998";22.4;"%";"";
0000000;"POLAND";"50 and more";"females";"numerical data";"1999";20.7;"%";"";
0000000;"POLAND";"50 and more";"females";"numerical data";"2000";20.7;"%";"";
0000000;"POLAND";"50 and more";"females";"numerical data";"2001";20.8;"%";"";
0000000;"POLAND";"50 and more";"females";"numerical data";"2002";20.1;"%";"";
0000000;"POLAND";"50 and more";"females";"numerical data";"2003";20.1;"%";"";
0000000;"POLAND";"50 and more";"females";"numerical data";"2004";19.8;"%";"";
0000000;"POLAND";"50 and more";"females";"numerical data";"2005";19.9;"%";"";
0000000;"POLAND";"50 and more";"females";"numerical data";"2006";19.4;"%";"";
0000000;"POLAND";"50 and more";"females";"numerical data";"2007";20.3;"%";"";
0000000;"POLAND";"50 and more";"females";"numerical data";"2008";21.5;"%";"";
0000000;"POLAND";"50 and more";"females";"numerical data";"2009";22.3;"%";"";
0000000;"POLAND";"50 and more";"females";"numerical data";"2010";23.3;"%";"";
0000000;"POLAND";"50 and more";"females";"numerical data";"2011";24.3;"%";"";
0000000;"POLAND";"50 and more";"females";"numerical data";"2012";24.6;"%";"";
0000000;"POLAND";"50 and more";"females";"numerical data";"2013";24.7;"%";"";
0000000;"POLAND";"50 and more";"females";"numerical data";"2014";25.1;"%";"";
0000000;"POLAND";"50 and more";"females";"numerical data";"2015";25.8;"%";"";
0000000;"POLAND";"50 and more";"females";"numerical data";"2016";25.9;"%";"";
0000000;"POLAND";"50 and more";"females";"numerical data";"2017";26.4;"%";"";
0000000;"POLAND";"50 and more";"females";"numerical data";"2018";26.0;"%";"";
0000000;"POLAND";"50 and more";"females";"numerical data";"2019";25.6;"%";"";
0000000;"POLAND";"50 and more";"females";"numerical data";"2020";26.0;"%";"";
0000000;"POLAND";"55-64";"females";"numerical data";"1995";26.3;"%";"";
0000000;"POLAND";"55-64";"females";"numerical data";"1996";25.5;"%";"";
0000000;"POLAND";"55-64";"females";"numerical data";"1997";25.8;"%";"";
0000000;"POLAND";"55-64";"females";"numerical data";"1998";24.3;"%";"";
0000000;"POLAND";"55-64";"females";"numerical data";"1999";21.7;"%";"";
0000000;"POLAND";"55-64";"females";"numerical data";"2000";21.4;"%";"";
0000000;"POLAND";"55-64";"females";"numerical data";"2001";22.0;"%";"";
0000000;"POLAND";"55-64";"females";"numerical data";"2002";21.0;"%";"";
0000000;"POLAND";"55-64";"females";"numerical data";"2003";21.5;"%";"";
0000000;"POLAND";"55-64";"females";"numerical data";"2004";21.0;"%";"";
0000000;"POLAND";"55-64";"females";"numerical data";"2005";21.4;"%";"";
0000000;"POLAND";"55-64";"females";"numerical data";"2006";19.0;"%";"";
0000000;"POLAND";"55-64";"females";"numerical data";"2007";19.4;"%";"";
0000000;"POLAND";"55-64";"females";"numerical data";"2008";20.7;"%";"";
0000000;"POLAND";"55-64";"females";"numerical data";"2009";21.9;"%";"";
0000000;"POLAND";"55-64";"females";"numerical data";"2010";24.2;"%";"";
0000000;"POLAND";"55-64";"females";"numerical data";"2011";27.2;"%";"";
0000000;"POLAND";"55-64";"females";"numerical data";"2012";29.2;"%";"";
0000000;"POLAND";"55-64";"females";"numerical data";"2013";31.0;"%";"";
0000000;"POLAND";"55-64";"females";"numerical data";"2014";32.9;"%";"";
0000000;"POLAND";"55-64";"females";"numerical data";"2015";35.5;"%";"";
0000000;"POLAND";"55-64";"females";"numerical data";"2016";37.6;"%";"";
0000000;"POLAND";"55-64";"females";"numerical data";"2017";39.3;"%";"";
0000000;"POLAND";"55-64";"females";"numerical data";"2018";39.1;"%";"";
0000000;"POLAND";"55-64";"females";"numerical data";"2019";39.2;"%";"";
0000000;"POLAND";"55-64";"females";"numerical data";"2020";41.0;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"1995";57.2;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"1996";57.2;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"1997";57.2;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"1998";57.8;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"1999";55.5;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"2000";54.2;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"2001";52.9;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"2002";51.2;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"2003";51.1;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"2004";51.1;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"2005";51.4;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"2006";53.1;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"2007";55.5;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"2008";57.3;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"2009";57.6;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"2010";57.3;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"2011";57.2;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"2012";57.5;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"2013";57.6;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"2014";59.4;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"2015";60.9;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"2016";62.3;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"2017";63.6;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"2018";65.0;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"2019";65.3;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"2020";65.7;"%";"";
